experiment_type,parameter_value,run,hidden_layers,activation,optimizer,batch_size,epochs,training_time,train_mse,train_rmse,train_mae,test_mse,test_rmse,test_mae,train_accuracy,test_accuracy,train_loss,test_loss
layers,4_layers,5,"[256, 128, 64, 32]",relu,sgd,32,50,2.81510329246521,0.70625,0.8403868156985805,0.70625,0.775,0.8803408430829505,0.775,0.29375,0.225,1.7087041029667385,1.7716662286013345
layers,4_layers,6,"[256, 128, 64, 32]",relu,sgd,32,50,2.33244252204895,0.7354166666666666,0.8575643804791956,0.7354166666666666,0.6833333333333333,0.8266397845091497,0.6833333333333333,0.26458333333333334,0.31666666666666665,1.7080203857490177,1.7381435299479435
layers,4_layers,7,"[256, 128, 64, 32]",relu,sgd,32,50,2.219226121902466,0.7645833333333334,0.8744045593049783,0.7645833333333334,0.7416666666666667,0.8612007121842542,0.7416666666666667,0.23541666666666666,0.25833333333333336,1.740454647239127,1.7343120684744258
layers,4_layers,8,"[256, 128, 64, 32]",relu,sgd,32,50,2.207134246826172,0.7291666666666667,0.8539125638299666,0.7291666666666667,0.6916666666666667,0.83166499665831,0.6916666666666667,0.2708333333333333,0.30833333333333335,1.696236359923094,1.7077395288080723
layers,4_layers,9,"[256, 128, 64, 32]",relu,sgd,32,50,2.1916799545288086,0.7354166666666666,0.8575643804791956,0.7354166666666666,0.675,0.8215838362577492,0.675,0.26458333333333334,0.325,1.7155990960868972,1.720970322524923
layers,4_layers,10,"[256, 128, 64, 32]",relu,sgd,32,50,2.1265227794647217,0.66875,0.8177713616898062,0.66875,0.675,0.8215838362577492,0.675,0.33125,0.325,1.6657389388224535,1.6959265570378712
neurons,16_neurons,1,[16],relu,sgd,32,50,0.8353879451751709,0.7791666666666667,0.8827041784576907,0.7791666666666667,0.75,0.8660254037844386,0.75,0.22083333333333333,0.25,1.7676765167244541,1.7746673929043
neurons,16_neurons,2,[16],relu,sgd,32,50,0.7250924110412598,0.8083333333333333,0.8990735972840785,0.8083333333333333,0.8333333333333334,0.9128709291752769,0.8333333333333334,0.19166666666666668,0.16666666666666666,1.7859619374639046,1.7907024574571166
neurons,16_neurons,3,[16],relu,sgd,32,50,0.8243660926818848,0.7916666666666666,0.8897565210026093,0.7916666666666666,0.7083333333333333,0.8416254115301731,0.7083333333333333,0.20833333333333334,0.2916666666666667,1.7756657446128126,1.775697441561774
neurons,16_neurons,4,[16],relu,sgd,32,50,0.7999136447906494,0.7791666666666667,0.8827041784576907,0.7791666666666667,0.775,0.8803408430829505,0.775,0.22083333333333333,0.225,1.7681329586459047,1.7796798084056684
neurons,16_neurons,5,[16],relu,sgd,32,50,0.8757565021514893,0.7583333333333333,0.8708233651742088,0.7583333333333333,0.8,0.8944271909999159,0.8,0.24166666666666667,0.2,1.7816539242761824,1.7895658178281526
neurons,16_neurons,6,[16],relu,sgd,32,50,0.9382567405700684,0.81875,0.9048480535426928,0.81875,0.875,0.9354143466934853,0.875,0.18125,0.125,1.7849465415639019,1.798508475397594
neurons,16_neurons,7,[16],relu,sgd,32,50,0.9394862651824951,0.7833333333333333,0.8850612031567836,0.7833333333333333,0.7833333333333333,0.8850612031567836,0.7833333333333333,0.21666666666666667,0.21666666666666667,1.7783470788166873,1.792012651452788
neurons,16_neurons,8,[16],relu,sgd,32,50,1.025017499923706,0.7833333333333333,0.8850612031567836,0.7833333333333333,0.825,0.9082951062292475,0.825,0.21666666666666667,0.175,1.7695784927643567,1.7817683851077752
neurons,16_neurons,9,[16],relu,sgd,32,50,0.682175874710083,0.83125,0.9117291264405235,0.83125,0.8166666666666667,0.9036961141150639,0.8166666666666667,0.16875,0.18333333333333332,1.7804554746860424,1.789317053598647
neurons,16_neurons,10,[16],relu,sgd,32,50,0.7209601402282715,0.7395833333333333,0.8599903100229288,0.7395833333333333,0.8083333333333333,0.8990735972840785,0.8083333333333333,0.2604166666666667,0.19166666666666668,1.7532901228357145,1.7825019228345969
neurons,32_neurons,1,[32],relu,sgd,32,50,0.8355264663696289,0.7229166666666667,0.8502450627123139,0.7229166666666667,0.6833333333333333,0.8266397845091497,0.6833333333333333,0.27708333333333335,0.31666666666666665,1.7536403186637843,1.7667186400795216
neurons,32_neurons,2,[32],relu,sgd,32,50,0.8310472965240479,0.7416666666666667,0.8612007121842542,0.7416666666666667,0.775,0.8803408430829505,0.775,0.25833333333333336,0.225,1.7463683682536788,1.7535152704099985
neurons,32_neurons,3,[32],relu,sgd,32,50,0.7985811233520508,0.7083333333333333,0.8416254115301731,0.7083333333333333,0.775,0.8803408430829505,0.775,0.2916666666666667,0.225,1.7284754385918788,1.7702526376802838
neurons,32_neurons,4,[32],relu,sgd,32,50,0.8437695503234863,0.7666666666666666,0.8755950357709131,0.7666666666666666,0.8166666666666667,0.9036961141150639,0.8166666666666667,0.23333333333333334,0.18333333333333332,1.7416316310490672,1.7982439821576677
neurons,32_neurons,5,[32],relu,sgd,32,50,0.7256848812103271,0.7854166666666667,0.8862373647430279,0.7854166666666667,0.85,0.9219544457292888,0.85,0.21458333333333332,0.15,1.7323375177483116,1.7709307736577649
neurons,32_neurons,6,[32],relu,sgd,32,50,0.7590274810791016,0.7604166666666666,0.8720187306856813,0.7604166666666666,0.7833333333333333,0.8850612031567836,0.7833333333333333,0.23958333333333334,0.21666666666666667,1.7586548379737503,1.7575331904269118
neurons,32_neurons,7,[32],relu,sgd,32,50,0.7631344795227051,0.7291666666666667,0.8539125638299666,0.7291666666666667,0.7083333333333333,0.8416254115301731,0.7083333333333333,0.2708333333333333,0.2916666666666667,1.7367559499984793,1.7317962395227293
neurons,32_neurons,8,[32],relu,sgd,32,50,0.8388528823852539,0.7479166666666667,0.8648217542746405,0.7479166666666667,0.8416666666666667,0.917423929634859,0.8416666666666667,0.2520833333333333,0.15833333333333333,1.7478498235234272,1.7936227406750944
neurons,32_neurons,9,[32],relu,sgd,32,50,0.9076881408691406,0.8166666666666667,0.9036961141150639,0.8166666666666667,0.85,0.9219544457292888,0.85,0.18333333333333332,0.15,1.7684759202362335,1.7727793074275757
neurons,32_neurons,10,[32],relu,sgd,32,50,1.0491325855255127,0.7854166666666667,0.8862373647430279,0.7854166666666667,0.7666666666666666,0.8755950357709131,0.7666666666666666,0.21458333333333332,0.23333333333333334,1.744097882795621,1.7600733116156002
neurons,64_neurons,1,[64],relu,sgd,32,50,1.510000467300415,0.6979166666666667,0.8354140689901426,0.6979166666666667,0.7,0.8366600265340756,0.7,0.3020833333333333,0.3,1.6963229730854719,1.7216981674750882
neurons,64_neurons,2,[64],relu,sgd,32,50,1.5223586559295654,0.7520833333333333,0.867227382716513,0.7520833333333333,0.7666666666666666,0.8755950357709131,0.7666666666666666,0.24791666666666667,0.23333333333333334,1.7268202505083896,1.7238882494174197
neurons,64_neurons,3,[64],relu,sgd,32,50,1.4754693508148193,0.6854166666666667,0.8278989471346528,0.6854166666666667,0.7333333333333334,0.8563488385776753,0.7333333333333334,0.3145833333333333,0.26666666666666666,1.7221778415048292,1.7404140478824226
neurons,64_neurons,4,[64],relu,sgd,32,50,1.5247409343719482,0.7,0.8366600265340756,0.7,0.7416666666666667,0.8612007121842542,0.7416666666666667,0.3,0.25833333333333336,1.7253023894687365,1.7488045371779937
neurons,64_neurons,5,[64],relu,sgd,32,50,1.0406110286712646,0.7229166666666667,0.8502450627123139,0.7229166666666667,0.7166666666666667,0.8465616732800196,0.7166666666666667,0.27708333333333335,0.2833333333333333,1.7555986006380526,1.7681494151231303
neurons,64_neurons,6,[64],relu,sgd,32,50,1.604135274887085,0.7333333333333334,0.8563488385776753,0.7333333333333334,0.7833333333333333,0.8850612031567836,0.7833333333333333,0.26666666666666666,0.21666666666666667,1.7402794195620288,1.7696229554825882
neurons,64_neurons,7,[64],relu,sgd,32,50,1.239532709121704,0.7458333333333333,0.8636164272021076,0.7458333333333333,0.7583333333333333,0.8708233651742088,0.7583333333333333,0.25416666666666665,0.24166666666666667,1.7208124199990427,1.7361295956851162
neurons,64_neurons,8,[64],relu,sgd,32,50,0.9744291305541992,0.675,0.8215838362577492,0.675,0.7083333333333333,0.8416254115301731,0.7083333333333333,0.325,0.2916666666666667,1.7198723545087422,1.7368556598184424
neurons,64_neurons,9,[64],relu,sgd,32,50,0.9704933166503906,0.6979166666666667,0.8354140689901426,0.6979166666666667,0.75,0.8660254037844386,0.75,0.3020833333333333,0.25,1.715797696741922,1.76517949316237
neurons,64_neurons,10,[64],relu,sgd,32,50,1.0556769371032715,0.6916666666666667,0.83166499665831,0.6916666666666667,0.6666666666666667,0.816496580927726,0.6666666666666667,0.30833333333333335,0.3333333333333333,1.7279606436340273,1.7418638352702842
neurons,128_neurons,1,[128],relu,sgd,32,50,1.379734754562378,0.7208333333333333,0.8490190417966686,0.7208333333333333,0.725,0.85146931829632,0.725,0.2791666666666667,0.275,1.705546294385555,1.7365610652482233
neurons,128_neurons,2,[128],relu,sgd,32,50,1.3097424507141113,0.7041666666666666,0.8391463916782737,0.7041666666666666,0.6583333333333333,0.811377429642539,0.6583333333333333,0.29583333333333334,0.3416666666666667,1.6907162869449717,1.6824699665982263
neurons,128_neurons,3,[128],relu,sgd,32,50,1.2427704334259033,0.65625,0.8100925873009825,0.65625,0.6666666666666667,0.816496580927726,0.6666666666666667,0.34375,0.3333333333333333,1.7433016515845723,1.7690861655292225
neurons,128_neurons,4,[128],relu,sgd,32,50,1.2856459617614746,0.6458333333333333,0.8036375634160795,0.6458333333333333,0.625,0.7905694150420949,0.625,0.3541666666666667,0.375,1.7124982717529467,1.7192759785268295
